Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Review,Genre,Country
2023-08-16,Extraction 2,2023,https://boxd.it/4HQDN5,2.0,,,2023-08-03,Is it a movie or a video game on easy level?,"Action, Thriller, Crime",United States of America
2023-08-16,A Long Way Down,2014,https://boxd.it/4HQBbN,2.5,,,2023-08-10,The girl was on my nerves.,"Comedy, Drama","United Kingdom, Germany"
2023-08-16,Return to Sender,2015,https://boxd.it/4HQCwR,3.5,,,2023-08-11,And that’s what I call a revenge.,"Drama, Thriller",United States of America
2023-08-22,Delighted,2016,https://boxd.it/4JAhb5,0.5,,,2023-08-22,,Unknown,Iran
2023-10-15,Mean Girls,2004,https://boxd.it/4ZLdWR,3.0,Yes,,2023-10-06,,"Drama, Comedy",United States of America
2023-10-15,Ford v Ferrari,2019,https://boxd.it/4ZLeFx,4.0,Yes,,2023-10-12,,"Drama, Action, History",United States of America
2023-10-15,Gran Turismo,2023,https://boxd.it/4ZLbHF,3.5,,,2023-10-13,,"Adventure, Drama, Action",United States of America
2023-10-15,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/4ZLcht,3.0,,,2023-10-13,,"Drama, Comedy","United States of America, Germany"
2023-10-17,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/50L8cD,4.0,Yes,,2023-10-17,,Drama,United States of America
2023-10-22,The Music Man,2007,https://boxd.it/52jNvj,3.5,,,2023-10-18,,"Music, Drama",Iran
2023-10-28,When Harry Met Sally...,1989,https://boxd.it/543njR,3.0,,,2023-10-27,,"Comedy, Romance, Drama",United States of America
2024-02-20,The Big Short,2015,https://boxd.it/5S9U5P,4.0,,,2024-01-27,,"Comedy, Drama",United States of America
2024-02-09,A Nice Girl Like You,2020,https://boxd.it/5MYbUL,0.5,,,2024-02-08,"SO FUCKIN STUPID 
OMG","Comedy, Romance",United States of America
2024-02-20,Almost Famous,2000,https://boxd.it/5S9XuN,2.5,,,2024-02-09,,"Drama, Music",United States of America
2024-02-18,Love at First Sight,2023,https://boxd.it/5R0Di1,3.0,,,2024-02-10,,"Romance, Drama",United States of America
2024-02-20,Bride Wars,2009,https://boxd.it/5S9Yrv,3.0,,,2024-02-10,,"Comedy, Romance",United States of America
2024-02-20,May December,2023,https://boxd.it/5Sa0Qx,1.5,,,2024-02-11,,Drama,United States of America
2024-02-20,Love at First Sight,2023,https://boxd.it/5Sa1Al,3.0,Yes,,2024-02-11,,"Romance, Drama",United States of America
2024-02-20,13 Going on 30,2004,https://boxd.it/5Sa1YR,2.0,,,2024-02-15,,"Comedy, Fantasy, Romance",United States of America
2024-02-18,Legally Blonde,2001,https://boxd.it/5R0aLN,2.0,,,2024-02-17,,Comedy,United States of America
2024-02-19,White Boy Rick,2018,https://boxd.it/5RBhSv,2.5,,,2024-02-18,,"Crime, Drama",United States of America
2024-02-26,Society of the Snow,2023,https://boxd.it/5UKPzd,3.5,,,2024-02-23,I cried.,"Drama, History","Spain, United States of America"
2024-02-26,Under the Shadow,2016,https://boxd.it/5UKO9t,2.5,,,2024-02-24,It could have continued.,"Drama, Horror, War","Jordan, United Kingdom"
2024-02-26,House of Gucci,2021,https://boxd.it/5UKOLd,3.5,,,2024-02-24,,"Drama, Crime, History","Canada, United States of America"
2024-03-02,Promising Young Woman,2020,https://boxd.it/5X485R,4.0,,,2024-03-01,I loved Ryan’s sense of humor:((((,"Thriller, Crime, Drama",United States of America
2024-03-09,Vacation,2015,https://boxd.it/60jALX,2.0,,,2024-03-08,The photos on the title sequence 👌🏻,"Comedy, Adventure",United States of America
2024-03-13,Oppenheimer,2023,https://boxd.it/62qdpL,3.0,,,2024-03-13,,"Drama, History","United Kingdom, United States of America"
2024-03-23,Drive-Away Dolls,2024,https://boxd.it/66JIMb,2.0,,,2024-03-21,,"Comedy, Crime","United Kingdom, United States of America"
2024-03-23,Anyone But You,2023,https://boxd.it/66OdJP,2.0,,,2024-03-22,,"Romance, Comedy",United States of America
2024-03-24,On My Skin,2018,https://boxd.it/67aw0j,3.0,,,2024-03-23,"Why the lawyer didn’t show up in the fuckin hospital?
Amd why that fuckin nurse didn’t find him a chocolate? MI HA FATTO PIANGERE",Drama,Italy
2024-03-24,Wind River,2017,https://boxd.it/67lOhJ,4.0,,,2024-03-23,,"Crime, Mystery, Drama, Thriller","France, United Kingdom, United States of America"
2024-03-28,You Should Have Left,2020,https://boxd.it/69i8Kh,0.5,,,2024-03-26,,"Horror, Thriller",United States of America
2024-03-28,Eileen,2023,https://boxd.it/69kY8X,0.5,,,2024-03-28,What?,"Thriller, Crime","United Kingdom, United States of America"
2024-03-31,The Man from U.N.C.L.E.,2015,https://boxd.it/6aG3rB,3.0,,,2024-03-30,,"Comedy, Action, Adventure",United States of America
2024-04-01,This Is the End,2013,https://boxd.it/6b63dL,2.0,,,2024-03-31,,"Action, Comedy",United States of America
2024-04-06,Lost Girls,2020,https://boxd.it/6dA4GR,3.5,,,2024-04-06,Why the police wasn’t doing anything?,"Drama, Mystery, Thriller, History",United States of America
2024-04-07,Dune,2021,https://boxd.it/6e3uOP,3.5,Yes,,2024-04-07,,"Science Fiction, Adventure",United States of America
2024-04-08,Dune: Part Two,2024,https://boxd.it/6esaOF,3.5,,,2024-04-07,Needed more of Léa.,"Science Fiction, Adventure",United States of America
2024-04-11,Knocked Up,2007,https://boxd.it/6fEMPp,2.5,,,2024-04-08,,"Comedy, Romance, Drama",United States of America
2024-04-11,Just Go with It,2011,https://boxd.it/6fEMu7,3.0,,,2024-04-09,,"Comedy, Romance",United States of America
2024-04-13,The Longest Ride,2015,https://boxd.it/6gm6Gj,2.5,,,2024-04-12,Poor Ira …,"Drama, Romance",United States of America
2024-04-28,Ad Astra,2019,https://boxd.it/6mAHAT,2.0,,,2024-04-28,,"Science Fiction, Drama","Brazil, China, United States of America"
2024-05-13,Bones and All,2022,https://boxd.it/6sZj23,0.5,,,2024-05-12,,"Horror, Romance, Drama","Italy, United States of America"
2024-05-13,The Spy Who Dumped Me,2018,https://boxd.it/6sZjbz,3.0,,,2024-05-12,,"Comedy, Action, Adventure",United States of America
2024-06-04,Challengers,2024,https://boxd.it/6BKgrZ,4.0,,,2024-06-02,,"Drama, Romance","Italy, United States of America"
2024-06-16,The Intern,2015,https://boxd.it/6GoeI1,1.5,,,2024-06-16,,Comedy,United States of America
2024-06-22,The Break-Up,2006,https://boxd.it/6IKQpX,3.0,,,2024-06-18,,"Romance, Comedy",United States of America
2024-07-06,Two Sisters,2009,https://boxd.it/6Oj1yf,1.0,,,2024-07-04,,"Comedy, Drama, Family",Iran
2024-07-06,You and Me,2011,https://boxd.it/6Oj2wz,0.5,,,2024-07-04,,Comedy,Unknown
2025-02-01,La Chimera,2023,https://boxd.it/8Gj80N,3.5,,,2025-01-31,,"Drama, Fantasy, Comedy","Italy, France, Switzerland, Turkey"
2025-02-02,Emilia Pérez,2024,https://boxd.it/8Ht8Tx,2.0,,,2025-02-01,,"Drama, Thriller","Belgium, France, United States of America, Mexico"
2025-02-03,Anora,2024,https://boxd.it/8IgRP9,3.0,,,2025-02-02,,"Drama, Comedy, Romance",United States of America
2025-02-08,Something from Tiffany's,2022,https://boxd.it/8LkpGX,2.0,,,2025-02-06,,"Romance, Comedy, Drama",United States of America
2025-02-08,The Gap,2014,https://boxd.it/8Lkrld,2.0,,,2025-02-07,,Drama,United States of America
2025-02-09,Memory,2023,https://boxd.it/8LJNMb,3.0,,,2025-02-08,I didn’t get the point of Saul being naked most of the time.,"Action, Thriller, Crime",United States of America
2025-02-09,The Hand of God,2021,https://boxd.it/8LYmrP,3.5,,,2025-02-08,Grazie a Dio che Daniela è uscita dal bagno.,Drama,Italy
2025-02-16,Saltburn,2023,https://boxd.it/8QGVTt,4.0,,,2025-02-16,It would have been somehow pointless without a twist.,"Drama, Comedy, Thriller","United Kingdom, United States of America"
2025-02-17,My Fault: London,2025,https://boxd.it/8RqptZ,0.5,,,2025-02-16,An English subtitle for “Culpa Mia” couldn’t do the job?,"Drama, Romance","Spain, United Kingdom, United States of America"
2025-02-19,Beautiful Disaster,2023,https://boxd.it/8SMQ5X,1.0,,,2025-02-18,Good amout of naked Dylan tho.,"Romance, Drama, Comedy",United States of America
2025-02-21,Wolfs,2024,https://boxd.it/8TX6zD,3.0,,,2025-02-20,,"Crime, Comedy",United States of America
2025-02-23,Cherry,2021,https://boxd.it/8VfVpJ,3.0,,,2025-02-21,,"Drama, Crime",United States of America
